Timestamp,Consent,Gender,Age,Height,Weight,Waist,Employment,Breakfast,Lunch,Dinner,CookMeals,FoodFactors,Preference,Takeaway,Alcohol,DietTrends,SocialMedia,BMI
4/11/2021 19:25,I agree,Female,17,1.7,70,,School student,7,7,7,Sometimes,"Convenience, Affordability, Availability, Emotion/mood, Routine, Culture, Social (i.e. friend influence, shared meals), Personal preference (taste), Sport/exercise",I prefer eating home-cooked meals,3,0,None of the above,3,24.22145329
4/11/2021 20:09,I agree,Female,50,1.7,68,,Part-time employee,7,7,7,Always,"Convenience, Availability, Emotion/mood, Nutritional benefits, Health trends, Personal preference (taste)",I usually eat takeaway foods because of convenience and affordability but prefer eating home-cooked meals,3,1,"Vegetarian, Pescatarian ",4,23.52941176
4/11/2021 20:16,I agree,Female,55,1.65,65,,Full-time employee,0,7,7,Usually,"Medical conditions (e.g. allergies, IBS, intolerances)",I prefer eating home-cooked meals,0,0,"Keto diet, Paleo diet, Low-carb, No-sugar, Gluten free (excluding people with gluten intolerance/allergy), Intermittent fasting, Animal diet",1,23.87511478
4/11/2021 20:18,I agree,Male,18,1.83,69.7,85,Unemployed,3,7,7,Sometimes,"Affordability, Personal preference (taste), Caloric Density",I prefer eating out/ordering takeaway foods,5,0,No-sugar,1,20.8128042
4/11/2021 20:18,I agree,Female,17,1.64,76,,School student,7,7,7,Usually,"Convenience, Affordability, Availability, Emotion/mood, Social (i.e. friend influence, shared meals)",I usually eat home-cooked meals but prefer eating takeaway foods,1,0,Keto diet,1,28.25698989
4/11/2021 20:18,I agree,Male,18,1.88,68,76,University/tertiary student,5,7,7,Sometimes,"Convenience, Affordability, Emotion/mood, Social (i.e. friend influence, shared meals), Nutritional benefits, Personal preference (taste), Sport/exercise",I prefer eating home-cooked meals,0,1,None of the above,4,19.23947488
4/11/2021 20:21,I agree,Female,19,1.65,49,62,University/tertiary student,6,7,7,Usually,"Convenience, Affordability, Emotion/mood, Routine, Religious/moral beliefs, Culture, Social (i.e. friend influence, shared meals), Nutritional benefits, Health trends, Personal preference (taste)",I prefer eating home-cooked meals,2,5,"Vegetarian, Intermittent fasting",4,17.99816345
4/11/2021 20:22,I agree,Female,18,1.8,70,,University/tertiary student,7,7,7,Usually,"Convenience, Affordability, Routine, Nutritional benefits, Sport/exercise",I prefer eating home-cooked meals,1,4,"Low-carb, No-sugar",3,21.60493827
4/11/2021 20:25,I agree,Male,18,1.79,73,,University/tertiary student,3,7,5,Usually,"Convenience, Affordability, Availability, Emotion/mood, Routine, Social (i.e. friend influence, shared meals), Nutritional benefits, Personal preference (taste)",I usually eat takeaway foods because of convenience and affordability but prefer eating home-cooked meals,0,15,Vegetarian,5,22.78330889
4/11/2021 20:30,I agree,Male,18,1.8,65,,Part-time employee,7,5,6,Sometimes,"Convenience, Affordability, Availability, Emotion/mood, Routine, Nutritional benefits, Medical conditions (e.g. allergies, IBS, intolerances), Personal preference (taste), Sport/exercise",I prefer eating home-cooked meals,1,0,None of the above,2,20.0617284
4/11/2021 20:31,I agree,Female,15,1.65,45,,School student,7,6,7,Always,"Convenience, Availability, Emotion/mood, Culture, Social (i.e. friend influence, shared meals), Personal preference (taste)",I prefer eating home-cooked meals,2,0,None of the above,3,16.52892562
4/11/2021 20:31,I agree,Female,18,1.65,65,,University/tertiary student,7,7,7,Never,"Availability, Routine, Health trends, Sport/exercise",I prefer eating home-cooked meals,5,20,Vegetarian,3,23.87511478
4/11/2021 20:34,I agree,Male,17,1.75,115,,School student,2,4,6,Sometimes,"Affordability, Availability",I prefer eating home-cooked meals,3,10,Vegan,3,37.55102041
4/11/2021 20:37,I agree,Female,18,1.6,55,,University/tertiary student,4,6,6,Usually,"Affordability, Routine, Social (i.e. friend influence, shared meals), Nutritional benefits, Health trends",I prefer eating home-cooked meals,1,0,None of the above,1,21.484375
4/11/2021 20:39,I agree,Female,18,1.77,72,,University/tertiary student,7,7,7,Always,"Convenience, Availability, Medical conditions (e.g. allergies, IBS, intolerances), Personal preference (taste)",I usually eat home-cooked meals but prefer eating takeaway foods,1,4,None of the above,2,22.98190175
