unit_id,connection_type,technology,tier,rsp,state_or_territory,is_this_service_impaired,is_this_service_underperforming,gateway_mac,All hour trimmed mean download speed,All hour minimum download speed,All hour maximum download speed,Busy hour trimmed mean download speed,Busy hour minimum download speed,Busy hour maximum download speed,All hour trimmed mean upload speed,All hour minimum upload speed,All hour maximum upload speed,Busy hour trimmed mean upload speed,Busy hour minimum upload speed,Busy hour maximum upload speed,All hour trimmed mean latency,All hour minimum latency,All hour maximum latency,Busy hour trimmed mean latency,Busy hour minimum latency,Busy hour maximum latency,Average daily outages
1188353,NBN,HFC,25/5 Mbps,TPG,VIC,FALSE,FALSE,34E8xxxxxx,26.37,2.6,26.56,26.34,24.8,26.51,4.59,4.36,4.77,4.59,4.44,4.7,8.51,8.05,31.68,8.68,8.32,10.71,0.17
28320513,NBN,Fibre to the Node,25/5 Mbps,Optus,NSW,FALSE,FALSE,88A6xxxxxx,26.95,19.55,27.81,26.08,19.55,27.81,4.37,3.84,4.5,4.31,3.89,4.49,11.52,9.87,21.22,11.88,9.87,14.82,0.03
53382913,NBN_FW,Fixed Wireless,Fixed Wireless Plus,,NSW,FALSE,FALSE,1459xxxxxx,44.17,8,69.24,35.6,8,62.46,3.92,1.07,6.67,2.8,1.07,4.76,46.87,44.85,50.6,46.71,44.93,50.16,0
1029379,NBN,Fibre to the Node,50/20 Mbps,Dodo & iPrimus,NSW,FALSE,FALSE,F8CAxxxxxx,53.08,46.08,53.31,52.99,46.08,53.31,18.82,18.55,18.97,18.82,18.77,18.88,10.45,8.14,35.39,20.24,8.26,35.39,0.17
2211075,NBN,Fibre to the Premises,50/20 Mbps,Other RSPs,VIC,FALSE,FALSE,3C7Cxxxxxx,53.33,8.97,54.38,52.67,34.41,54.38,18.82,16.54,18.92,18.74,16.54,18.88,13.81,12.7,52.16,14.59,12.7,39.31,0.1
1231619,NBN,Fibre to the Premises,100/40 Mbps,iiNet,NSW,FALSE,FALSE,E0B9xxxxxx,108.25,105.36,108.7,108.02,105.67,108.6,41.13,39.84,41.22,41.08,40.37,41.21,6.24,5.09,13.05,6.52,5.15,10.98,0.04
1028868,NBN,Fibre to the Premises,50/20 Mbps,iiNet,VIC,FALSE,FALSE,0060xxxxxx,53.35,37.99,53.84,52.9,40.33,53.84,18.02,17.21,18.21,18.01,17.32,18.21,2.48,2.14,9.6,2.86,2.22,9.6,0.77
4329477,NBN,Fibre to the Premises,50/20 Mbps,Exetel,NSW,FALSE,FALSE,10FExxxxxx,53.24,16.66,54.61,52.87,35.43,54.44,18.68,17.2,18.86,18.68,18.15,18.85,9.54,9.22,23.22,9.67,9.26,11.09,0.03
55458309,NBN,HFC,12/1 Mbps,TPG,QLD,FALSE,FALSE,A491xxxxxx,11.43,3.76,12.12,11.52,6.28,12.11,0.86,0.13,0.93,0.84,0.51,0.93,9.11,8.53,29.86,9.81,8.75,20.21,0
54369029,NBN very high speed services,Fibre to the Premises,500-990/50 Mbps,,VIC,FALSE,FALSE,B0E4xxxxxx,873.29,392.26,914.26,841.38,392.26,910.77,42.86,3.94,45.61,42.37,29.7,45.43,3.33,3.18,11.38,3.72,3.2,11.38,0.07
